ticket_id,timestamp,customer_id,vip,site_id,category_label,text,severity_reported
TCK_59,9/1/2025 22:00,CUST_160,1,SITE_5,Voice Call Issue,Tidak bisa nelpon,high
TCK_60,9/1/2025 22:15,CUST_161,1,SITE_1,Internet Lag,Internet lemot siang,high
TCK_61,9/1/2025 22:30,CUST_162,1,SITE_2,Coverage / Sinyal,Sinyal drop di basement,medium
TCK_62,9/1/2025 22:45,CUST_163,1,SITE_3,WA Call Issue,WA call gagal,medium
TCK_63,9/1/2025 23:00,CUST_164,1,SITE_4,Voice Call Issue,Nelpon tidak tersambung,high
TCK_64,9/1/2025 23:15,CUST_165,1,SITE_5,SMS Issue,SMS delay,medium
TCK_65,9/1/2025 23:30,CUST_166,1,SITE_1,Gaming Lag,Game disconnect,high
TCK_66,9/1/2025 23:45,CUST_167,1,SITE_2,Internet Lag,Internet lambat sore,medium
TCK_67,9/2/2025 0:00,CUST_168,1,SITE_3,Coverage / Sinyal,Sinyal lemah,medium
TCK_68,9/2/2025 0:15,CUST_169,1,SITE_4,WA Call Issue,WA call tidak stabil,medium
TCK_69,9/2/2025 0:30,CUST_170,1,SITE_5,Voice Call Issue,Sering gagal nelpon,high
TCK_70,9/2/2025 0:45,CUST_171,1,SITE_1,Internet Lag,Internet lemot parah,high
TCK_71,9/2/2025 1:00,CUST_172,1,SITE_2,Coverage / Sinyal,Sinyal hilang di area,medium
TCK_72,9/2/2025 1:15,CUST_173,1,SITE_3,WA Call Issue,WA call putus-putus,medium
TCK_73,9/2/2025 1:30,CUST_174,1,SITE_4,Voice Call Issue,Nelpon sering putus,high
TCK_74,9/2/2025 1:45,CUST_175,1,SITE_5,SMS Issue,SMS tidak terkirim,medium
TCK_75,9/2/2025 2:00,CUST_176,1,SITE_1,Gaming Lag,Game lag berat,high
TCK_76,9/2/2025 2:15,CUST_177,1,SITE_2,Internet Lag,Internet lemot di pagi hari,medium
TCK_77,9/2/2025 2:30,CUST_178,1,SITE_3,Coverage / Sinyal,Sinyal drop di gedung,medium
TCK_78,9/2/2025 2:45,CUST_179,1,SITE_4,WA Call Issue,WA reconnecting terus,medium
TCK_79,9/2/2025 3:00,CUST_180,1,SITE_5,Voice Call Issue,Tidak bisa nelpon,high
TCK_80,9/2/2025 3:15,CUST_181,1,SITE_1,Internet Lag,Internet lemot siang,high
TCK_81,9/2/2025 3:30,CUST_182,1,SITE_2,Coverage / Sinyal,Sinyal drop di basement,medium
TCK_82,9/2/2025 3:45,CUST_183,1,SITE_3,WA Call Issue,WA call gagal,medium
TCK_83,9/2/2025 4:00,CUST_184,1,SITE_4,Voice Call Issue,Nelpon tidak tersambung,high
TCK_84,9/2/2025 4:15,CUST_185,1,SITE_5,SMS Issue,SMS delay,medium
TCK_85,9/2/2025 4:30,CUST_186,1,SITE_1,Gaming Lag,Game disconnect,high
TCK_86,9/2/2025 4:45,CUST_187,1,SITE_2,Internet Lag,Internet lambat sore,medium
TCK_87,9/2/2025 5:00,CUST_188,1,SITE_3,Coverage / Sinyal,Sinyal lemah,medium
TCK_88,9/2/2025 5:15,CUST_189,1,SITE_4,WA Call Issue,WA call tidak stabil,medium
TCK_89,9/2/2025 5:30,CUST_190,1,SITE_5,Voice Call Issue,Sering gagal nelpon,high
TCK_90,9/2/2025 5:45,CUST_191,1,SITE_1,Internet Lag,Internet lemot parah,high
TCK_91,9/2/2025 6:00,CUST_192,1,SITE_2,Coverage / Sinyal,Sinyal hilang di area,medium
TCK_92,9/1/2025 6:15,CUST_193,1,SITE_3,WA Call Issue,WA call putus-putus,medium
TCK_93,9/2/2025 6:30,CUST_194,1,SITE_4,Voice Call Issue,Nelpon sering putus,high
TCK_94,9/2/2025 6:45,CUST_195,1,SITE_5,SMS Issue,SMS tidak terkirim,medium
TCK_95,9/2/2025 7:00,CUST_196,1,SITE_1,Gaming Lag,Game lag berat,high
TCK_96,9/2/2025 7:15,CUST_197,1,SITE_2,Internet Lag,Internet lemot di pagi hari,medium
TCK_97,9/2/2025 7:30,CUST_198,1,SITE_3,Coverage / Sinyal,Sinyal drop di gedung,medium
TCK_98,9/2/2025 7:45,CUST_199,1,SITE_4,WA Call Issue,WA reconnecting terus,medium
TCK_99,9/2/2025 8:00,CUST_200,1,SITE_5,Voice Call Issue,Tidak bisa nelpon,high
